,longitude,latitude,acq_date,DEM,fire,2_at
5675,80.9909,28.93,2019-05-20,319.9176940917969,0,296.8766784667969
5676,82.3355,27.8488,2019-06-18,372.6257934570313,0,302.389892578125
5677,82.1427,28.3493,2019-03-29,1336.3607177734375,0,292.7142639160156
5678,80.6268,28.9947,2019-05-09,1622.5015869140625,1,301.6760559082031
5679,84.9208,27.2619,2019-03-29,261.1754150390625,0,296.0202941894531
5680,81.4586,28.3872,2019-05-26,323.06658935546875,0,303.4256286621094
5681,81.2965,28.5495,2019-01-31,191.8104553222656,0,285.7334289550781
5682,81.1714,28.9783,2019-05-19,1601.6947021484375,1,294.9320068359375
5683,81.8535,28.1564,2019-05-30,224.36102294921875,0,304.3584899902344
5684,85.6372,27.3863,2019-03-24,706.06396484375,1,291.3741149902344
5685,83.1646,27.74,2019-02-05,169.60037231445312,0,288.1208801269531
5686,85.7178,27.6821,2019-05-02,1118.4647216796875,1,293.9731140136719
5687,82.1921,28.2511,2019-06-17,1639.3701171875,1,301.1315612792969
5688,81.2738,28.7857,2019-05-09,600.5159301757812,1,298.6442565917969
5689,81.4449,28.8864,2019-05-07,1023.1884765625,0,297.65802001953125
5690,81.5362,28.3542,2019-04-28,533.01416015625,1,300.6520690917969
5691,82.9091,28.0549,2019-05-11,1104.574951171875,1,296.3355407714844
5692,81.0706,29.0167,2019-03-29,1581.354736328125,0,290.13531494140625
5693,84.0478,27.5303,2019-06-10,381.7774963378906,0,298.8812255859375
5694,82.8643,27.775,2019-05-14,625.1974487304688,1,298.8843078613281
5695,82.1747,27.9227,2019-03-27,546.1954345703125,0,294.7514343261719
5696,81.3658,28.5054,2019-03-24,318.8826904296875,0,293.8398742675781
5697,81.4675,28.8885,2019-12-29,503.7273864746094,0,279.55712890625
5698,83.0604,27.6924,2019-03-24,127.5180435180664,0,295.7448425292969
5699,81.6988,28.3206,2019-01-04,545.73095703125,0,284.8825988769531
5700,81.6274,28.4067,2019-05-13,315.42535400390625,1,302.2677917480469
5701,80.6565,28.9789,2019-02-04,1599.0313720703125,0,285.4145202636719
5702,81.7228,28.2736,2019-04-30,245.991455078125,0,301.28057861328125
5703,82.0489,28.4367,2019-06-10,1130.6673583984375,0,299.5655822753906
5704,81.3651,28.6587,2019-02-16,618.4794921875,0,288.24212646484375
5705,83.9997,27.5275,2019-02-02,266.7371826171875,0,288.0310363769531
5706,81.657,28.5446,2019-05-13,660.2876586914062,1,300.6579284667969
5707,80.4874,29.0114,2019-03-27,1228.484130859375,0,290.2110290527344
5708,81.1873,28.9729,2019-05-23,1562.2027587890625,1,297.0890808105469
5709,81.6798,28.2933,2019-05-20,218.6878967285156,0,301.5932312011719
5710,82.0115,28.3809,2019-05-27,1889.81103515625,1,298.6974792480469
5711,80.4552,29.0879,2019-05-07,1115.5615234375,1,297.4800720214844
5712,80.167,28.886,2019-03-27,193.5474090576172,0,295.1686096191406
5713,83.9221,27.4933,2019-04-04,403.5419616699219,1,299.87042236328125
5714,81.1055,28.7195,2019-04-30,296.7486572265625,1,300.9234619140625
5715,80.986,28.8847,2019-05-01,1479.6309814453125,1,298.22930908203125
5716,84.9458,27.2503,2019-05-16,239.58383178710932,0,299.9461975097656
5717,81.5553,28.3727,2019-01-20,792.284912109375,0,286.9740295410156
5718,81.5127,28.3091,2019-12-31,193.1754302978516,0,282.760986328125
5719,81.8997,27.9611,2019-05-18,290.13311767578125,0,304.5625
5720,81.8254,28.1335,2019-03-01,173.88714599609375,0,286.8334045410156
5721,81.2819,28.5682,2019-05-12,197.004150390625,0,303.20477294921875
5722,82.5356,27.9497,2019-04-20,774.5255737304688,1,295.1547546386719
5723,81.6533,28.3937,2019-05-02,531.323486328125,1,303.0543212890625
5724,81.6067,28.3757,2019-04-24,480.3102722167969,0,299.3444519042969
5725,81.5065,28.3706,2019-03-14,416.2265625,0,293.2320556640625
5726,82.5389,27.9374,2019-01-04,501.86279296875,0,283.4660949707031
5727,82.9794,28.1696,2019-03-05,1233.711669921875,0,283.4382019042969
5728,81.2735,28.5284,2019-05-08,184.189453125,0,300.5042419433594
5729,87.7353,26.6589,2019-04-30,135.82962036132812,0,299.2579040527344
5730,84.8063,27.2693,2019-06-16,199.5545654296875,0,304.4371032714844
5731,86.0324,27.0151,2019-04-22,381.78033447265625,0,295.2044372558594
5732,81.6591,28.5585,2019-05-12,654.018798828125,1,301.6993713378906
5733,81.9458,28.179,2019-03-15,656.4840087890625,0,295.4711608886719
5734,81.9534,28.1367,2019-04-29,711.2310791015625,1,302.0184326171875
5735,81.7458,28.2557,2019-02-25,201.95144653320312,0,289.40972900390625
5736,82.0909,28.2158,2019-04-24,759.2086181640625,0,297.3984375
5737,85.8434,27.0159,2019-03-20,227.66360473632807,1,292.9891662597656
5738,82.0748,28.4379,2019-03-29,1171.162841796875,0,292.7142639160156
5739,81.364,28.7214,2019-02-22,604.8114013671875,0,290.8535461425781
5740,85.7807,27.009,2019-12-05,189.54104614257807,0,287.265380859375
5741,82.0347,28.5842,2019-06-11,1379.232177734375,0,295.9399108886719
5742,81.1379,28.8094,2019-01-13,671.0309448242188,0,282.8733215332031
5743,84.214,27.5188,2019-03-29,181.0914764404297,0,294.2415466308594
