longitude,latitude,acq_date,DEM,fire,Precipitation_CHIRPS
80.5306,29.0384,2019-05-02,1007.3782958984376,0,0.0
81.1379,28.8094,2019-02-22,671.0309448242188,0,0.0
85.9545,26.9817,2019-02-04,301.6596984863281,1,0.0
81.307,28.548,2019-06-14,195.5182647705078,0,0.0
80.3628,29.231,2019-05-23,1848.013427734375,1,0.0
87.2733,26.7806,2019-04-30,251.2078094482422,0,0.0
84.1488,27.555,2019-11-11,137.24554443359375,0,0.0
83.1832,27.7382,2019-12-31,190.2303466796875,0,0.0
84.3418,27.5571,2019-05-26,167.14047241210938,0,0.0
81.7788,28.435,2019-03-21,558.233154296875,0,0.0
81.84,28.114,2019-05-23,180.6587371826172,0,0.0
80.5639,28.9011,2019-06-08,717.5474853515625,0,0.0
81.5416,28.3524,2019-04-28,581.1953125,1,0.0
80.4599,29.1162,2019-01-31,574.10791015625,0,0.0
81.8837,28.1015,2019-05-09,205.8662109375,1,0.0
83.5038,27.6476,2019-04-21,135.55123901367188,1,0.0
83.9017,27.6266,2019-04-28,315.662109375,0,0.0
80.6152,29.0907,2019-05-02,1739.7572021484375,0,0.0
81.0215,29.2673,2019-05-21,1209.6043701171875,1,0.0
82.1201,28.324,2019-01-12,1415.4002685546875,0,0.0
80.8057,29.3811,2019-05-15,1658.1868896484375,1,0.0
81.9286,28.1154,2019-03-18,259.7054138183594,0,0.0
80.8831,28.5489,2019-03-17,160.27218627929688,0,0.0
84.7869,28.283,2019-12-31,3237.468994140625,1,0.0
81.954,27.9813,2019-05-01,245.2823944091797,0,0.0
81.2117,28.9912,2019-05-23,1253.71484375,1,0.0
80.653,29.4475,2019-04-18,1833.2574462890625,0,4.113099098205566
84.8367,27.3371,2019-03-28,352.23358154296875,1,0.0
81.7607,28.7231,2019-05-23,1564.947021484375,1,0.0
80.8675,28.6097,2019-05-04,164.99998474121094,0,0.0
84.7652,27.3426,2019-03-28,244.6376800537109,0,0.0
82.4191,27.8104,2019-05-26,420.3797607421875,0,0.0
81.3131,28.7084,2019-05-31,455.790283203125,0,15.726171493530273
82.8981,28.0149,2019-01-01,1070.2794189453125,0,0.0
80.469,28.7751,2019-04-27,194.76705932617188,1,0.0
83.1891,27.7364,2019-11-24,194.71511840820312,0,0.0
80.8737,28.7996,2019-06-12,334.50909423828125,0,5.3237409591674805
85.2159,27.8842,2019-05-02,975.9493408203124,1,0.0
80.3142,29.1083,2019-05-11,669.137939453125,1,6.460595607757568
81.3143,28.564,2019-05-09,203.94046020507807,1,7.311793804168701
81.4384,28.5169,2019-06-17,467.0252685546875,0,0.0
80.6432,29.116,2019-06-18,1420.3045654296875,0,0.0
81.5245,28.5367,2019-04-20,706.5171508789062,0,2.2383105754852295
85.8338,27.0207,2019-03-20,231.5044403076172,1,0.0
86.0278,27.0469,2019-01-20,391.3433227539063,0,0.0
81.2929,28.6565,2019-05-07,502.8921813964844,1,0.0
81.2786,28.5924,2019-05-22,201.2193298339844,1,0.0
82.8049,27.9025,2019-12-05,421.6734924316406,0,0.0
82.2829,27.8483,2019-06-09,511.57562255859375,0,0.0
80.5088,29.0238,2019-05-06,1085.704345703125,1,0.0
81.485,28.3875,2019-06-24,505.33697509765625,0,15.894505500793457
82.6655,27.7696,2019-05-07,432.4742431640625,1,0.0
82.1576,27.8937,2019-05-07,453.8123474121094,1,0.0
80.1771,28.8106,2019-04-20,180.7590789794922,0,0.0
86.5608,26.9083,2019-03-23,586.5741577148438,1,0.0
85.7125,27.039,2019-03-15,184.30288696289065,0,0.0
87.8298,27.5263,2019-04-22,1870.30810546875,0,0.3270587921142578
81.3695,28.5393,2019-05-28,235.4509735107422,0,0.0
82.2223,28.2804,2019-05-19,1141.5477294921875,1,0.0
81.5553,28.3727,2019-05-08,792.284912109375,0,0.0
82.0765,28.1929,2019-04-14,577.84912109375,0,0.0
80.5957,28.8633,2019-01-30,317.3849792480469,0,0.0
80.7004,28.7041,2019-05-06,179.99998474121094,1,0.0
81.409,28.4598,2019-04-09,378.679443359375,0,2.6818344593048096
81.2701,28.8028,2019-03-05,633.4430541992188,0,0.0
82.0033,28.6442,2019-05-29,1528.3411865234375,1,0.0
80.8523,28.9371,2019-05-14,1130.4678955078125,0,6.518027305603027
80.62,29.072,2019-05-12,1260.3311767578125,1,0.0
82.8981,28.0149,2019-01-12,1070.2794189453125,0,0.0
82.298,27.8455,2019-06-15,554.5093994140625,0,0.0
81.5363,28.4747,2019-04-23,639.0833740234375,0,0.035845570266246796
84.9478,27.2801,2019-02-10,309.29010009765625,0,0.0
82.1669,27.9191,2019-05-06,468.0955505371094,1,0.0
82.8634,27.7608,2019-11-11,565.3455200195312,0,0.0
81.2702,28.5748,2019-03-08,190.37420654296875,0,0.0
86.417,26.9813,2019-04-21,316.8877868652344,0,0.0
83.976,27.6272,2019-04-30,286.17724609375,0,0.0
80.7391,28.6709,2019-05-13,176.89837646484375,0,0.0
82.6824,27.9159,2019-06-16,640.228515625,0,0.0
81.9667,28.2635,2019-12-30,541.6779174804688,0,0.0
81.8997,27.9611,2019-04-01,290.13311767578125,0,0.0
81.3573,28.6003,2019-05-08,575.6553955078125,1,0.0
81.474,28.3685,2019-02-16,186.96730041503903,0,4.179296016693115
86.0324,27.0151,2019-12-06,381.78033447265625,0,0.0
81.3282,28.6074,2019-05-01,380.839599609375,1,0.0
81.2654,28.5223,2019-03-28,177.38002014160156,0,2.5805580615997314
83.9128,27.5177,2019-05-12,220.76573181152344,1,0.0
81.8693,28.3033,2019-04-22,596.46484375,1,0.22772131860256195
82.1071,28.4486,2019-03-13,1049.1153564453125,0,0.0
80.6527,29.0179,2019-05-30,1054.315185546875,1,0.0
81.5063,28.4066,2019-04-29,607.8780517578125,1,0.0
84.7858,27.2696,2019-05-18,174.99754333496094,0,0.0
82.1149,28.0517,2019-04-30,563.9336547851562,1,0.0
84.8066,27.2418,2019-03-22,155.61141967773438,1,0.0
80.9971,28.9324,2019-05-07,432.5054321289063,0,0.0
81.3485,28.893,2019-03-28,632.4008178710938,0,0.0
81.9431,28.4843,2019-01-22,1541.87353515625,0,11.347156524658203
84.6187,28.1235,2019-03-21,1266.9176025390625,1,12.856276512145996
83.0107,28.1335,2019-04-24,1503.48779296875,0,0.9914867281913757
85.7739,27.0172,2019-03-19,197.97671508789065,1,0.0
81.4539,28.4161,2019-01-04,528.1569213867188,0,0.0
82.1442,28.5452,2019-03-14,1354.2353515625,0,0.0
80.7378,28.9196,2019-04-24,1200.2205810546875,0,1.569799542427063
84.7982,27.2952,2019-03-01,212.96229553222656,0,0.0
81.4421,28.4142,2019-04-19,408.4304809570313,0,0.0
82.6268,27.9346,2019-03-18,659.3038940429688,0,0.0
81.8994,28.1507,2019-05-15,243.6434783935547,0,4.156386852264404
82.0601,28.0649,2019-05-01,405.45947265625,0,0.0
82.8061,27.9133,2019-03-06,419.7135009765625,0,0.0
80.2694,29.4293,2019-05-11,1379.515869140625,0,0.0
83.61,27.6807,2019-02-18,510.7911376953125,0,0.0
81.8837,28.1015,2019-06-17,205.8662109375,0,0.0
80.2146,28.8479,2019-01-13,195.09420776367188,0,0.0
82.2382,28.4434,2019-03-16,1354.3331298828125,0,0.0
86.778,26.7266,2019-04-04,182.1439819335937,0,0.0
84.9094,27.3111,2019-04-19,402.0310668945313,0,0.0
81.8739,27.9821,2019-04-23,283.3879699707031,1,0.0726185217499733
82.6777,27.916,2019-05-12,665.1641845703125,1,0.0
81.4628,28.4311,2019-11-11,250.02452087402344,0,0.0
82.8557,27.8853,2019-12-31,542.4866333007812,0,0.0
80.4705,29.0747,2019-01-20,912.9903564453124,0,0.0
82.1688,28.5842,2019-05-31,909.462646484375,0,0.0
81.3573,28.6003,2019-02-12,575.6553955078125,0,0.0
81.9051,28.234,2019-05-19,779.9965209960938,0,7.448505401611328
81.6597,28.3767,2019-01-31,285.1402893066406,0,0.0
81.2921,28.5942,2019-06-21,220.5570068359375,0,0.0
81.1959,28.6641,2019-04-22,397.193603515625,1,0.6667560338973999
