longitude,latitude,acq_date
85.9796,26.9614,2019-03-16
84.9888,27.5973,2019-03-16
85.9516,27.3442,2019-03-16
87.8876,27.0244,2019-03-16
82.6741,27.727,2019-03-16
82.6858,27.7255,2019-03-16
86.8041,27.009,2019-03-16
84.9862,27.2658,2019-03-16
84.9962,27.2644,2019-03-16
86.0364,26.9895,2019-03-16
85.9896,26.9599,2019-03-16
86.9819,26.6754,2019-03-16
85.3809,26.8947,2019-03-16
86.6287,26.6939,2019-03-16
86.7171,26.6498,2019-03-16
86.794,26.6554,2019-03-16
86.8191,26.681,2019-03-16
84.8913,28.392,2019-03-16
86.8442,26.7217,2019-03-16
82.6739,27.7331,2019-03-16
87.4792,26.6394,2019-03-17
87.6098,27.5177,2019-03-17
86.1784,27.7594,2019-03-17
84.6791,28.0392,2019-03-17
84.6881,28.0367,2019-03-17
87.7747,27.4701,2019-03-17
87.4441,26.9751,2019-03-17
87.4207,26.9903,2019-03-17
87.3646,26.9911,2019-03-17
87.6268,27.2165,2019-03-17
87.6155,27.2147,2019-03-17
87.1774,27.1465,2019-03-17
85.9977,26.9559,2019-03-17
87.2254,27.1993,2019-03-17
87.7648,27.4686,2019-03-17
86.063,27.6563,2019-03-18
87.4624,27.2943,2019-03-18
86.8971,26.7099,2019-03-18
85.8975,27.0302,2019-03-18
85.7125,27.039,2019-03-18
85.7275,27.0397,2019-03-18
85.7051,27.0377,2019-03-18
84.8601,27.227,2019-03-18
85.0751,27.2504,2019-03-18
84.8742,27.2313,2019-03-18
80.2019,28.805,2019-03-18
80.1907,28.8036,2019-03-18
80.1892,28.8129,2019-03-18
80.1892,28.9015,2019-03-19
80.2003,28.8997,2019-03-19
80.2114,28.8979,2019-03-19
86.6987,26.7509,2019-03-19
86.7153,26.6821,2019-03-19
86.8967,26.7398,2019-03-19
86.8798,26.7367,2019-03-19
86.6055,26.6855,2019-03-19
86.753,26.7489,2019-03-19
86.6819,26.7478,2019-03-19
86.7611,26.7603,2019-03-19
86.6931,26.7473,2019-03-19
86.0707,26.9929,2019-03-19
85.7739,27.0172,2019-03-19
85.731,27.0217,2019-03-19
85.7256,27.0236,2019-03-19
80.1938,28.8966,2019-03-19
80.1852,28.8986,2019-03-19
87.9636,26.4961,2019-03-20
87.7142,27.1372,2019-03-20
85.9405,27.0678,2019-03-20
85.707,27.0457,2019-03-20
85.9254,27.0465,2019-03-20
85.6666,27.0599,2019-03-20
85.6529,27.0583,2019-03-20
85.2926,27.1293,2019-03-20
85.1102,27.1074,2019-03-20
85.2712,27.1449,2019-03-20
85.019,27.1566,2019-03-20
84.9584,27.2518,2019-03-20
84.9458,27.2503,2019-03-20
84.9332,27.2488,2019-03-20
84.9568,27.2618,2019-03-20
84.9442,27.2603,2019-03-20
84.7323,27.2346,2019-03-20
85.3311,26.8172,2019-03-20
86.6777,26.6955,2019-03-20
85.8386,26.9891,2019-03-20
86.0341,27.0439,2019-03-20
86.0189,27.0422,2019-03-20
85.8338,27.0207,2019-03-20
85.8434,27.0159,2019-03-20
86.0278,27.0469,2019-03-20
84.9414,27.3202,2019-03-20
84.1343,27.5468,2019-03-20
84.1226,27.5453,2019-03-20
84.1398,27.5504,2019-03-20
84.1282,27.549,2019-03-20
81.5507,28.2403,2019-03-20
80.1805,28.7872,2019-03-20
82.6938,27.726,2019-03-20
82.446,27.6924,2019-03-20
80.1745,28.8965,2019-03-20
80.1908,28.7887,2019-03-20
82.4358,27.691,2019-03-20
81.5608,28.2417,2019-03-20
85.3226,27.936,2019-03-21
83.164,27.7732,2019-03-21
83.9396,27.6233,2019-03-21
84.9529,27.2711,2019-03-21
85.2619,27.1935,2019-03-21
85.9495,27.0662,2019-03-21
84.6187,28.1235,2019-03-21
85.9286,27.047,2019-03-21
85.9224,27.048,2019-03-21
85.9385,27.0451,2019-03-21
85.6657,27.0719,2019-03-21
86.3861,26.9387,2019-03-21
85.0282,27.1758,2019-03-21
85.8513,27.0264,2019-03-21
85.6893,27.0334,2019-03-21
84.5005,27.7636,2019-03-21
85.7048,27.0305,2019-03-21
86.6857,26.8138,2019-03-21
86.508,26.7743,2019-03-21
87.0361,26.8395,2019-03-21
87.7543,26.6587,2019-03-21
87.0076,26.6139,2019-03-21
87.0059,26.6229,2019-03-21
86.8922,26.7535,2019-03-21
86.7931,26.7477,2019-03-21
87.0463,26.841,2019-03-21
86.8051,27.008,2019-03-21
86.8037,27.017,2019-03-21
85.903,27.0905,2019-03-21
84.9657,27.2466,2019-03-21
84.8896,27.2639,2019-03-21
84.8777,27.262,2019-03-21
84.8659,27.26,2019-03-21
84.9036,27.3486,2019-03-21
84.9436,27.2829,2019-03-22
84.9044,27.2898,2019-03-22
87.5567,26.8402,2019-03-22
86.7881,26.7696,2019-03-22
86.8124,26.7674,2019-03-22
86.8058,26.7591,2019-03-22
85.3245,27.112,2019-03-22
87.9522,26.4637,2019-03-22
86.778,26.7266,2019-03-22
86.9635,26.7598,2019-03-22
86.8392,26.7631,2019-03-22
86.8378,26.7724,2019-03-22
86.8049,26.7682,2019-03-22
86.794,26.7667,2019-03-22
86.6419,26.7469,2019-03-22
86.6312,26.7455,2019-03-22
86.6837,26.7619,2019-03-22
86.5895,26.7651,2019-03-22
86.6199,26.7784,2019-03-22
86.5769,26.839,2019-03-22
86.4085,26.9253,2019-03-22
86.1871,26.9618,2019-03-22
85.9982,26.9458,2019-03-22
86.0612,26.9724,2019-03-22
86.0077,26.9746,2019-03-22
86.0324,27.0151,2019-03-22
86.0904,27.0508,2019-03-22
85.7807,27.009,2019-03-22
85.6976,27.0336,2019-03-22
85.5132,27.0177,2019-03-22
85.6812,27.0683,2019-03-22
87.1608,27.2716,2019-03-22
85.881,27.1231,2019-03-22
85.3983,27.1038,2019-03-22
85.3176,27.0927,2019-03-22
85.3075,27.0913,2019-03-22
85.3145,27.1106,2019-03-22
85.1089,27.1094,2019-03-22
85.3129,27.1468,2019-03-22
85.8817,27.233,2019-03-22
85.3182,27.175,2019-03-22
85.3082,27.1736,2019-03-22
85.2679,27.1681,2019-03-22
85.2578,27.1667,2019-03-22
85.2663,27.177,2019-03-22
85.0192,27.1792,2019-03-22
85.0577,27.2132,2019-03-22
