longitude,latitude,acq_date,DEM
84.8063,27.2693,2019-03-22,199.5545654296875
84.7963,27.2679,2019-03-22,184.69802856445312
84.9046,27.2923,2019-03-22,322.009521484375
84.903,27.3012,2019-03-22,350.0047607421875
84.893,27.2998,2019-03-22,340.76409912109375
84.6301,27.3819,2019-03-23,319.998291015625
84.6402,27.3804,2019-03-23,312.41680908203125
84.9094,27.3111,2019-03-23,402.03106689453125
84.8132,27.28,2019-03-23,221.2238311767578
84.8014,27.2726,2019-03-23,196.9150390625
84.8217,27.2695,2019-03-23,210.43582153320312
84.8319,27.2679,2019-03-23,210.0
84.8404,27.2573,2019-03-23,185.5447998046875
85.284,27.1881,2019-03-23,182.581787109375
85.635,27.3076,2019-03-23,506.6785888671875
84.5185,27.759,2019-03-23,442.1644287109375
85.3135,27.1176,2019-03-23,125.45069885253906
