longitude,latitude,acq_date,geometry,index_right,fid,DN
84.7471,27.3066,2019-03-24,POINT (84.7471 27.3066),240693,2351902.0,4
84.8042,27.326,2019-03-24,POINT (84.8042 27.326),240693,2351902.0,4
84.8964,27.3509,2019-03-24,POINT (84.8964 27.3509),240693,2351902.0,4
84.7273,27.3432,2019-03-24,POINT (84.7273 27.3432),240693,2351902.0,4
84.7154,27.3412,2019-03-24,POINT (84.7154 27.3412),240693,2351902.0,4
85.5723,27.304,2019-03-24,POINT (85.5723 27.304),240693,2351902.0,4
84.8731,27.3418,2019-03-25,POINT (84.8731 27.3418),240693,2351902.0,4
84.7946,27.3425,2019-03-25,POINT (84.7946 27.3425),240693,2351902.0,4
84.8056,27.3411,2019-03-25,POINT (84.8056 27.3411),240693,2351902.0,4
84.7986,27.3359,2019-03-25,POINT (84.7986 27.3359),240693,2351902.0,4
84.8096,27.3345,2019-03-25,POINT (84.8096 27.3345),240693,2351902.0,4
84.8644,27.3271,2019-03-25,POINT (84.8644 27.3271),240693,2351902.0,4
84.6536,27.3457,2019-03-25,POINT (84.6536 27.3457),240693,2351902.0,4
84.8847,27.3149,2019-03-25,POINT (84.8847 27.3149),240693,2351902.0,4
84.9094,27.2641,2019-03-25,POINT (84.9094 27.2641),240693,2351902.0,4
86.2063,27.0853,2019-03-25,POINT (86.2063 27.0853),240693,2351902.0,4
84.9712,27.2369,2019-03-25,POINT (84.9712 27.2369),240693,2351902.0,4
84.9189,27.2279,2019-03-25,POINT (84.9189 27.2279),240693,2351902.0,4
84.9714,27.2113,2019-03-25,POINT (84.9714 27.2113),240693,2351902.0,4
86.4071,26.9827,2019-03-25,POINT (86.4071 26.9827),240693,2351902.0,4
86.417,26.9813,2019-03-25,POINT (86.417 26.9813),240693,2351902.0,4
84.9807,27.2189,2019-03-25,POINT (84.9807 27.2189),240693,2351902.0,4
84.9,27.2397,2019-03-25,POINT (84.9 27.2397),240693,2351902.0,4
84.7979,27.3419,2019-03-25,POINT (84.7979 27.3419),240693,2351902.0,4
84.8318,27.3403,2019-03-28,POINT (84.8318 27.3403),240693,2351902.0,4
84.8367,27.3371,2019-03-28,POINT (84.8367 27.3371),240693,2351902.0,4
84.9951,27.2463,2019-03-28,POINT (84.9951 27.2463),240693,2351902.0,4
84.9933,27.2553,2019-03-28,POINT (84.9933 27.2553),240693,2351902.0,4
84.8239,27.3312,2019-03-28,POINT (84.8239 27.3312),240693,2351902.0,4
85.3083,27.077,2019-03-29,POINT (85.3083 27.077),240693,2351902.0,4
84.83,27.3112,2019-03-31,POINT (84.83 27.3112),240693,2351902.0,4
85.3006,27.1256,2019-04-02,POINT (85.3006 27.1256),240693,2351902.0,4
85.5279,27.261,2019-04-04,POINT (85.5279 27.261),240693,2351902.0,4
85.313,27.1289,2019-04-18,POINT (85.313 27.1289),240693,2351902.0,4
85.3042,27.1096,2019-04-20,POINT (85.3042 27.1096),240693,2351902.0,4
86.0702,27.2442,2019-04-20,POINT (86.0702 27.2442),240693,2351902.0,4
