,longitude,latitude,acq_date,DEM,fire,Scaled_LST
5428,80.5189,29.1267,2019-05-31,959.8438110351562,0,15403.0
5429,80.8671,28.6448,2019-05-01,165.32052612304688,1,15181.0
5430,80.6104,29.1274,2019-05-02,1456.7432861328125,0,
5431,81.5895,28.9083,2019-06-15,973.1611938476562,1,15519.0
5432,81.7112,28.2985,2019-04-21,337.252685546875,1,15375.0
5433,86.8041,27.009,2019-05-20,619.7847290039062,0,15528.0
5434,85.6529,27.0583,2019-02-16,162.5702667236328,0,
5435,81.3846,28.3429,2019-03-20,161.19406127929688,0,15110.0
5436,82.89,27.6876,2019-05-11,124.40634155273438,0,15547.0
5437,82.1808,27.9215,2019-05-06,417.2950134277344,1,15491.0
5438,83.5452,27.6498,2019-05-09,129.54205322265625,0,15386.0
5439,83.2318,27.6748,2019-02-10,138.86767578125,0,
5440,82.5432,27.9641,2019-06-05,730.5470581054688,0,15441.0
5441,82.0303,28.566,2019-05-08,1379.1986083984375,0,15387.0
5442,84.1201,28.0651,2019-04-30,961.230712890625,0,15022.0
5443,86.794,26.6554,2019-06-08,162.03680419921875,0,
5444,80.5873,28.9067,2019-12-06,602.6359252929688,0,14251.0
5445,81.9456,28.063,2019-04-28,179.99867248535156,1,15620.0
5446,80.8831,28.5489,2019-04-21,160.27218627929688,1,15630.0
5447,81.8281,28.3321,2019-04-29,950.706787109375,1,15423.0
5448,81.5293,28.3236,2019-03-24,215.75686645507807,0,15146.0
5449,81.5363,28.4747,2019-06-09,639.0833740234375,0,15224.0
5450,82.4263,27.9417,2019-05-08,557.2432250976562,0,15567.0
5451,81.5925,28.3732,2019-03-29,319.9568176269531,0,14658.0
5452,85.362,27.4295,2019-05-10,646.9664916992188,1,15070.0
5453,80.7134,28.6455,2019-05-31,164.9347381591797,0,15423.0
5454,80.7869,28.8157,2019-12-30,405.78521728515625,0,
5455,81.4877,28.2956,2019-05-15,178.82171630859375,0,15282.0
5456,81.6599,28.5192,2019-04-09,423.31390380859375,0,
5457,81.9176,28.1168,2019-03-31,263.1068115234375,0,15270.0
5458,81.4037,28.9007,2019-04-26,721.6537475585938,0,14970.0
5459,80.6389,29.4298,2019-01-13,2117.32861328125,0,14226.0
5460,80.8271,28.9512,2019-04-27,862.4119262695312,0,15177.0
5461,80.5307,29.0547,2019-04-14,1167.855224609375,1,15388.0
5462,81.9509,28.1098,2019-06-06,253.871826171875,0,
5463,80.6261,29.1067,2019-02-04,1397.077392578125,0,14578.0
5464,82.1218,28.0229,2019-04-24,230.68458557128903,0,
5465,81.3946,28.4495,2019-04-29,493.7882080078125,0,15307.0
5466,80.6467,28.6833,2019-04-20,175.14358520507812,0,15515.0
5467,82.3813,27.8217,2019-05-16,335.2169494628906,1,15551.0
5468,80.6469,28.7105,2019-06-05,185.61492919921875,0,15399.0
5469,81.6547,28.3249,2019-04-24,340.7374267578125,1,
5470,84.6514,27.5122,2019-05-08,293.99725341796875,0,15175.0
5471,86.7931,26.7477,2019-06-05,173.92001342773438,0,15347.0
5472,81.5733,28.3365,2019-02-05,692.3696899414062,0,14519.0
5473,81.4284,28.4829,2019-05-20,341.812255859375,1,15575.0
5474,80.644,29.1323,2019-03-16,1616.23193359375,0,
5475,82.3161,28.322,2019-05-21,1374.24072265625,0,
5476,81.3282,28.6074,2019-05-08,380.839599609375,0,15485.0
5477,81.9209,27.9086,2019-04-27,158.2772979736328,1,15525.0
5478,81.4238,28.4716,2019-05-22,286.1488647460937,1,15536.0
5479,84.9807,27.2189,2019-05-15,198.61215209960932,0,15216.0
5480,80.7319,28.664,2019-04-20,173.26531982421875,0,15337.0
5481,80.829,28.6253,2019-01-06,171.70184326171875,0,
5482,80.5534,28.9417,2019-05-04,786.1505126953125,0,
5483,81.6189,28.4284,2019-06-09,853.0582275390625,0,15168.0
5484,84.8317,27.9784,2019-02-10,880.601318359375,0,
5485,86.0393,27.0326,2019-03-24,360.63372802734375,1,15233.0
